id,title,description,availability,condition,price,link,image_link,brand,product_type,age_group,color,gender,item_group_id,pattern,size,shipping,shipping_weight,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,google_product_category,fb_product_category,product_tags[0],additional_image_link
15084,New York Fashion Week hõlmikseelik,New York Fashion Week hõlmikseelik,in stock,new,155.00 EUR,https://haruu.ee/toode/new-york-fashion-week-holmikseelik/,https://haruu.ee/wp-content/uploads/2025/05/DSC07529-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Skirts,Apparel & Accessories > Clothing > Skirts,,
8348,Linased lühikesed püksid,Linased lühikesed püksid,in stock,new,105.00 EUR,https://haruu.ee/toode/luhikesed-puksid-linasest/,https://haruu.ee/wp-content/uploads/2023/05/DSC07345-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Pants,Apparel & Accessories > Clothing > Pants,,
7781,Linane lühike kimono vööga,Linane lühike kimono vööga,in stock,new,155.00 EUR,https://haruu.ee/toode/linane-luhike-kimono/,https://haruu.ee/wp-content/uploads/2022/10/DSC06662-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Kimonos,Apparel & Accessories > Clothing > Kimonos,,
6965,Linane pikk kimono vööga,Linane pikk kimono vööga,in stock,new,179.00 EUR,https://haruu.ee/toode/100-linane-kimono/,https://haruu.ee/wp-content/uploads/2021/10/liivakarva-linane-naiste-kimono-3.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Kimonos,Apparel & Accessories > Clothing > Kimonos,,
10679,Haruu x Homeinestonia kleit,Haruu x Homeinestonia kleit,in stock,new,165.00 EUR,https://haruu.ee/toode/kleit-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2025/05/DSC07008-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Dresses,Apparel & Accessories > Clothing > Dresses,,
8991,Haruu x Homeinestonia püksid,Haruu x Homeinestonia püksid,in stock,new,125.00 EUR,https://haruu.ee/toode/puksid-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2023/05/haruu1404-13-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Pants,Apparel & Accessories > Clothing > Pants,,
8976,Haruu x Homeinestonia pusa,Haruu x Homeinestonia pusa,in stock,new,125.00 EUR,https://haruu.ee/toode/pusa-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2025/05/DSC07132-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Shirts & Tops,Apparel & Accessories > Clothing > Shirts & Tops,,
8997,Haruu x Homeinestonia kimono,Haruu x Homeinestonia kimono,in stock,new,155.00 EUR,https://haruu.ee/toode/kimono-jakk-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2025/05/DSC06893-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Kimonos,Apparel & Accessories > Clothing > Kimonos,,
12468,Haruu t-särk,Haruu t-särk,in stock,new,65.00 EUR,https://haruu.ee/toode/haruu-t-sark/,https://haruu.ee/wp-content/uploads/2024/10/DSC07236-Enhanced-NR-1-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Shirts & Tops,Apparel & Accessories > Clothing > Shirts & Tops,,
8589,Siidist kimonokleit,Siidist kimonokleit,in stock,new,215.00 EUR,https://haruu.ee/toode/siidist-kimonokleit/,https://haruu.ee/wp-content/uploads/2023/07/DSC07634-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Kimonos,Apparel & Accessories > Clothing > Kimonos,,
10688,Linased pikad püksid,Linased pikad püksid,in stock,new,139.00 EUR,https://haruu.ee/toode/linasest-puksid/,https://haruu.ee/wp-content/uploads/2024/04/DSC07446-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Pants,Apparel & Accessories > Clothing > Pants,,
10695,Linane pluus,Linane pluus,in stock,new,155.00 EUR,https://haruu.ee/toode/linasest-pluus/,https://haruu.ee/wp-content/uploads/2024/04/DSC07280-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Shirts & Tops,Apparel & Accessories > Clothing > Shirts & Tops,,
10518,Linane hommikumantel meestele,Linane hommikumantel meestele,in stock,new,149.00 EUR,https://haruu.ee/toode/hommikumantelmeestele/,https://haruu.ee/wp-content/uploads/2024/04/IMG_5430-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Coats,Apparel & Accessories > Clothing > Coats,,
7298,Linane hommikumantel naistele,Linane hommikumantel naistele,in stock,new,149.00 EUR,https://haruu.ee/toode/hommikumantel-naistele/,https://haruu.ee/wp-content/uploads/2022/06/DSC07589-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Coats,Apparel & Accessories > Clothing > Coats,,
15076,New York Fashion Week viskoosist kimono,New York Fashion Week viskoosist kimono,in stock,new,165.00 EUR,https://haruu.ee/toode/nyfw-kimono/,https://haruu.ee/wp-content/uploads/2025/05/DSC06173-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Kimonos,Apparel & Accessories > Clothing > Kimonos,,
15060,New York Fashion Week viskoosist püksid,New York Fashion Week viskoosist püksid,in stock,new,139.00 EUR,https://haruu.ee/toode/nyfw-viskoosist-puksid/,https://haruu.ee/wp-content/uploads/2025/05/DSC06196-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Pants,Apparel & Accessories > Clothing > Pants,,
17972,New York Fashion Week linane kleit,New York Fashion Week linane kleit,in stock,new,215.00 EUR,https://haruu.ee/toode/new-york-fashion-week-linane-kleit/,https://haruu.ee/wp-content/uploads/2025/06/DSC08789-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,Apparel & Accessories > Clothing > Dresses,Apparel & Accessories > Clothing > Dresses,,
